Energy_MeV,F8_Response_per_source_neutron,Relative_Error
8.32,4e-08,0.5
8.33,6e-08,0.4082
8.34,5e-08,0.4472
8.35,7e-08,0.378
8.36,5e-08,0.4472
8.37,4e-08,0.5
8.38,7e-08,0.378
8.39,6e-08,0.4082
8.4,7e-08,0.378
8.41,8e-08,0.3536
8.42,2e-08,0.7071
8.43,6e-08,0.4082
8.44,7e-08,0.378
8.45,8e-08,0.3536
8.46,7e-08,0.378
8.47,5e-08,0.4472
8.48,4e-08,0.5
8.49,4e-08,0.5
8.5,6e-08,0.4082
8.51,4e-08,0.5
8.52,4e-08,0.5
8.53,6e-08,0.4082
8.54,3e-08,0.5774
8.55,8e-08,0.3536
8.56,6e-08,0.4082
8.57,7e-08,0.378
8.58,6e-08,0.4082
8.59,3e-08,0.5774
8.6,7e-08,0.378
8.61,4e-08,0.5
8.62,3e-08,0.5774
8.63,3e-08,0.5774
8.64,4e-08,0.5
8.65,4e-08,0.5
8.66,3e-08,0.5774
8.67,0,0
8.68,3e-08,0.5774
8.69,3e-08,0.5774
8.7,2e-08,0.7071
8.71,2e-08,0.7071
8.72,5e-08,0.4472
8.73,6e-08,0.4082
8.74,6e-08,0.4082
8.75,4e-08,0.5
8.76,9e-08,0.3333
8.77,3e-08,0.5774
8.78,5e-08,0.4472
8.79,1e-08,1
8.8,2e-08,0.7071
8.81,5e-08,0.4472
8.82,4e-08,0.5
8.83,2e-08,0.7071
8.84,8e-08,0.3536
8.85,4e-08,0.5
8.86,5e-08,0.4472
8.87,3e-08,0.5774
8.88,3e-08,0.5774
8.89,6e-08,0.4082
8.9,2e-08,0.7071
8.91,5e-08,0.4472
8.92,5e-08,0.4472
8.93,0,0
8.94,2e-08,0.7071
8.95,7e-08,0.378
8.96,2e-08,0.7071
8.97,3e-08,0.5774
8.98,4e-08,0.5
